sku,name,price,description,is_in_stock,ADVERTISERCATEGORY
UMBRA.C6.C6.C6-2,U & Me Bra-Carbon 6-2 ,49,U & Me Bra in Carbon 6.,1,yoga apparel
UMBRA.C6.C6.C6-4,U & Me Bra-Carbon 6-4,49,U & Me Bra in Carbon 6.,1,yoga apparel
UMBRA.C6.C6.C6-6,U & Me Bra-Carbon 6-6,49,U & Me Bra in Carbon 6.,1,yoga apparel
UMBRA.C6.C6.C6-8,U & Me Bra-Carbon 6-8,49,U & Me Bra in Carbon 6.,1,yoga apparel
UMBRA.C6.C6.C6-10,U & Me Bra-Carbon 6-10,49,U & Me Bra in Carbon 6.,1,yoga apparel
UMBRA.C6.C6.C6-12,U & Me Bra-Carbon 6-12,49,U & Me Bra in Carbon 6.,0,yoga apparel
UMBRA.TPNK.TPNK.TPNK-2,U & Me Bra-Tickled Pink-2,24,U & Me Bra in Tickled Pink.,0,yoga apparel
UMBRA.TPNK.TPNK.TPNK-4,U & Me Bra-Tickled Pink-4,24,U & Me Bra in Tickled Pink.,1,yoga apparel
UMBRA.TPNK.TPNK.TPNK-6,U & Me Bra-Tickled Pink-6,24,U & Me Bra in Tickled Pink.,1,yoga apparel
UMBRA.TPNK.TPNK.TPNK-8,U & Me Bra-Tickled Pink-8,24,U & Me Bra in Tickled Pink.,1,yoga apparel
UMBRA.TPNK.TPNK.TPNK-10,U & Me Bra-Tickled Pink-10,24,U & Me Bra in Tickled Pink.,1,yoga apparel
UMBRA.IBLU.IBLU.IBLU-2,U & Me Bra-Buffalo Blue-2,24,"U & Me Bra in India Blue.
",0,yoga apparel
UMBRA.IBLU.IBLU.IBLU-4,U & Me Bra-Buffalo Blue-4,24,U & Me Bra in India Blue.,1,yoga apparel
UMBRA.IBLU.IBLU.IBLU-6,U & Me Bra-Buffalo Blue-6,24,U & Me Bra in India Blue.,0,yoga apparel
UMBRA.IBLU.IBLU.IBLU-8,U & Me Bra-Buffalo Blue-8,24,U & Me Bra in India Blue.,1,yoga apparel
UMBRA.IBLU.IBLU.IBLU-10,U & Me Bra-Buffalo Blue-10,24,U & Me Bra in India Blue.,1,yoga apparel
UMBRA.IBLU.IBLU.IBLU-12,U & Me Bra-Buffalo Blue-12,24,U & Me Bra in India Blue.,0,yoga apparel
UMBRA.BBLU.BBLU.BBLU-2,U & Me Bra-Boy Blue-2,24,U & Me Bra in Boy Blue.,0,yoga apparel
UMBRA.BBLU.BBLU.BBLU-4,U & Me Bra-Boy Blue-4,24,U & Me Bra in Boy Blue.,0,yoga apparel
UMBRA.BBLU.BBLU.BBLU-6,U & Me Bra-Boy Blue-6,24,U & Me Bra in Boy Blue.,1,yoga apparel
UMBRA.BBLU.BBLU.BBLU-8,U & Me Bra-Boy Blue-8,24,U & Me Bra in Boy Blue.,1,yoga apparel
UMBRA.BBLU.BBLU.BBLU-10,U & Me Bra-Boy Blue-10,24,U & Me Bra in Boy Blue.,1,yoga apparel
UMBRA.BBLU.BBLU.BBLU-12,U & Me Bra-Boy Blue-12,24,U & Me Bra in Boy Blue.,0,yoga apparel
TTLEG.C6.C6.C6-2,Tippy Toe Legging-Carbon 6-2,96,Tippy Toe Legging in Carbon 6.,1,yoga apparel
TTLEG.C6.C6.C6-4,Tippy Toe Legging-Carbon 6-4,96,Tippy Toe Legging in Carbon 6.,1,yoga apparel
TTLEG.C6.C6.C6-6,Tippy Toe Legging-Carbon 6-6,96,Tippy Toe Legging in Carbon 6.,1,yoga apparel
TTLEG.C6.C6.C6-8,Tippy Toe Legging-Carbon 6-8,96,Tippy Toe Legging in Carbon 6.,1,yoga apparel
TTLEG.C6.C6.C6-10, Tippy Toe Legging-Carbon 6-10,96,"Tippy Toe Legging in Carbon 6.
",1,yoga apparel
TTLEG.C6.C6.C6-12,Tippy Toe Legging-Carbon 6-12,96,Tippy Toe Legging in Carbon 6.,1,yoga apparel
TTLEG.C6.TPNK.C6-2,Tippy Toe Legging-Carbon 6 / Tickled Pink-2,45,Tippy Toe Legging in Carbon 6/Tickled Pink. ,0,yoga apparel
TTLEG.C6.TPNK.C6-4,Tippy Toe Legging-Carbon 6 / Tickled Pink-4,45,"Tippy Toe Legging in Carbon 6/ Tickled Pink. 
",0,yoga apparel
TTLEG.C6.TPNK.C6-6,Tippy Toe Legging-Carbon 6 / Tickled Pink-6,45,Tippy Toe Legging in Carbon 6/Tickled Pink.,0,yoga apparel
TTLEG.C6.TPNK.C6-8,Tippy Toe Legging-Carbon 6 / Tickled Pink-8,45,Tippy Toe Legging in Carbon 6/ Tickled Pink.,1,yoga apparel
TTLEG.C6.TPNK.C6-10,Tippy Toe Legging-Carbon 6 / Tickled Pink-10,45,Tippy Toe Legging in Carbon 6/ Tickled Pink. ,1,yoga apparel
TTLEG.C6.TPNK.C6-12,Tippy Toe Legging-Carbon 6 / Tickled Pink-12,45,Tippy Toe Legging in Carbon 6/ Tickled Pink.,1,yoga apparel
TTLEG.IBLU.IBLU.IBLU-2,Tippy Toe Legging-India Blue-2,45,Tippy Toe Legging in India Blue.,0,yoga apparel
TTLEG.IBLU.IBLU.IBLU-4,Tippy Toe Legging-India Blue-4,45,Tippy Toe Legging in India Blue.,1,yoga apparel
TTLEG.IBLU.IBLU.IBLU-6,Tippy Toe Legging-India Blue-6,45,Tippy Toe Legging in India Blue.,0,yoga apparel
TTLEG.IBLU.IBLU.IBLU-8,Tippy Toe Legging-India Blue-8,45,Tippy Toe Legging in India Blue.,1,yoga apparel
