old_sku,new_sku
BALLCRP.HGRY.BBEE.HGRY-10,BALCRP.HGR.BEE.HGR-10
BALLCRP.HGRY.BBEE.HGRY-12,BALCRP.HGR.BEE.HGR-12
BALLCRP.HGRY.BBEE.HGRY-2,BALCRP.HGR.BEE.HGR-2
BALLCRP.HGRY.BBEE.HGRY-4,BALCRP.HGR.BEE.HGR-4
BALLCRP.HGRY.BBEE.HGRY-6,BALCRP.HGR.BEE.HGR-6
BALLCRP.HGRY.BBEE.HGRY-8,BALCRP.HGR.BEE.HGR-8
BALLCRP.C6.PRED.C6-10,BALCRP.C6.PRED.C6-10
BALLCRP.C6.PRED.C6-12,BALCRP.C6.PRED.C6-12
BALLCRP.C6.PRED.C6-2,BALCRP.C6.PRED.C6-2
BALLCRP.C6.PRED.C6-4,BALCRP.C6.PRED.C6-4
BALLCRP.C6.PRED.C6-6,BALCRP.C6.PRED.C6-6
BALLCRP.C6.PRED.C6-8,BALCRP.C6.PRED.C6-8
BALLCRP.GCV6.RUD.GCV-10,BALCRP.GCV.RDHR.GCV-10
BALLCRP.GCV6.RUD.GCV-12,BALCRP.GCV.RDHR.GCV-12
BALLCRP.GCV6.RUD.GCV-2,BALCRP.GCV.RDHR.GCV-2
BALLCRP.GCV6.RUD.GCV-4,BALCRP.GCV.RDHR.GCV-4
BALLCRP.GCV6.RUD.GCV-6,BALCRP.GCV.RDHR.GCV-6
BALLCRP.GCV6.RUD.GCV-8,BALCRP.GCV.RDHR.GCV-8
SLIMI.C6.BBLU.C6-2,SLMI.C6.BBLU.C6-2
SLIMI.C6.BBLU.C6-2T,SLMI.C6.BBLU.C6-2T
SLIMI.C6.BBLU.C6-4,SLMI.C6.BBLU.C6-4
SLIMI.C6.BBLU.C6-4T,SLMI.C6.BBLU.C6-4T
SLIMI.C6.BBLU.C6-6,SLMI.C6.BBLU.C6-6
SLIMI.C6.BBLU.C6-6T,SLMI.C6.BBLU.C6-6T
SLIMI.C6.BBLU.C6-10,SLMI.C6.BBLU.C6-10
SLIMI.C6.BBLU.C6-10T,SLMI.C6.BBLU.C6-10T
SLIMI.C6.BBLU.C6-12,SLMI.C6.BBLU.C6-12
SLIMI.C6.BBLU.C6-12T,SLMI.C6.BBLU.C6-12T
SLIMI.C6.BBLU.C6-8,SLMI.C6.BBLU.C6-8
SLIMI.C6.BBLU.C6-8T,SLMI.C6.BBLU.C6-8T
SLIMI.C6.CRS.C6-10,SLMI.C6.CRS.C6-10
SLIMI.C6.CRS.C6-10T,SLMI.C6.CRS.C6-10T
SLIMI.C6.CRS.C6-12,SLMI.C6.CRS.C6-12
SLIMI.C6.CRS.C6-12T,SLMI.C6.CRS.C6-12T
SLIMI.C6.CRS.C6-2,SLMI.C6.CRS.C6-2
SLIMI.C6.CRS.C6-2T,SLMI.C6.CRS.C6-2T
SLIMI.C6.CRS.C6-4,SLMI.C6.CRS.C6-4
SLIMI.C6.CRS.C6-4T,SLMI.C6.CRS.C6-4T
SLIMI.C6.CRS.C6-6,SLMI.C6.CRS.C6-6
SLIMI.C6.CRS.C6-6T,SLMI.C6.CRS.C6-6T
SLIMI.C6.CRS.C6-8,SLMI.C6.CRS.C6-8
SLIMI.C6.CRS.C6-8T,SLMI.C6.CRS.C6-8T
SLIMI.C6.IBLU.C6-10,SLMI.C6.IBLU.C6-10
SLIMI.C6.IBLU.C6-10T,SLMI.C6.IBLU.C6-10T
SLIMI.C6.IBLU.C6-12,SLMI.C6.IBLU.C6-12
SLIMI.C6.IBLU.C6-12T,SLMI.C6.IBLU.C6-12T
SLIMI.C6.IBLU.C6-2,SLMI.C6.IBLU.C6-2
SLIMI.C6.IBLU.C6-2T,SLMI.C6.IBLU.C6-2T
SLIMI.C6.IBLU.C6-4,SLMI.C6.IBLU.C6-4
SLIMI.C6.IBLU.C6-4T,SLMI.C6.IBLU.C6-4T
